ID,Raw,Date,Data,Excel Date,
917,"29th September 2010 @ Jubez, Karlsruhe, Germany",29th September 2010 ," Jubez, Karlsruhe, Germany",29/09/2010,
918,"30th September 2010 @ Stattbahnhof, Schweinfurt, Germany",30th September 2010 ," Stattbahnhof, Schweinfurt, Germany",30/09/2010,
919,"1st October 2010 @ Unikum, Erfurt, Germany",1st October 2010 ," Unikum, Erfurt, Germany",01/10/2010,
920,"2nd October 2010 @ Roter Salon, Berlin, Germany",2nd October 2010 ," Roter Salon, Berlin, Germany",02/10/2010,
921,"3rd October 2010 @ Meskalina, Poznan, Poland",3rd October 2010 ," Meskalina, Poznan, Poland",03/10/2010,
922,"10th October 2010 @ Austin City Limits Festival, Austin, TX, USA",10th October 2010 ," Austin City Limits Festival, Austin, TX, USA",10/10/2010,
923,"12th October 2010 @ Low Spirits, Albuqerque, NM, USA",12th October 2010 ," Low Spirits, Albuqerque, NM, USA",12/10/2010,
924,"14th October 2010 @ The Saltair, Salt Lake City, UT, USA",14th October 2010 ," The Saltair, Salt Lake City, UT, USA",14/10/2010,
925,"14th October 2010 @ The Saltair Carpark, Salt Lake City, UT, USA",14th October 2010 ," The Saltair Carpark, Salt Lake City, UT, USA",14/10/2010,
926,"15th October 2010 @ The Fillmore, Denver, CO, USA",15th October 2010 ," The Fillmore, Denver, CO, USA",15/10/2010,
927,"16th October 2010 @ Illegal Pete’s, Denver, CO, USA",16th October 2010 ," Illegal Pete’s, Denver, CO, USA",16/10/2010,
928,"16th October 2010 @ The Fillmore, Denver, CO, USA",16th October 2010 ," The Fillmore, Denver, CO, USA",16/10/2010,
929,"18th October 2010 @ Crosstown Station, Kansas City, MO, USA",18th October 2010 ," Crosstown Station, Kansas City, MO, USA",18/10/2010,
930,"19th October 2010 @ First Avenue, Minneapolis, MN, USA",19th October 2010 ," First Avenue, Minneapolis, MN, USA",19/10/2010,
931,"20th October 2010 @ The Riviera, Chicago, IL, USA",20th October 2010 ," The Riviera, Chicago, IL, USA",20/10/2010,
932,"20th October 2010 @ Uptown Lounge, Chicago, IL, USA",20th October 2010 ," Uptown Lounge, Chicago, IL, USA",20/10/2010,
933,"21st October 2010 @ The Fillmore, Detroit, MI, USA",21st October 2010 ," The Fillmore, Detroit, MI, USA",21/10/2010,
934,"22nd October 2010 @ The Horseshoe Tavern, Toronto, ON, Canada",22nd October 2010 ," The Horseshoe Tavern, Toronto, ON, Canada",22/10/2010,
935,"23rd October 2010 @ The Kool Haus, Toronto, ON, Canada",23rd October 2010 ," The Kool Haus, Toronto, ON, Canada",23/10/2010,
936,"24th October 2010 @ The House Of Blues, Cleveland, OH, USA",24th October 2010 ," The House Of Blues, Cleveland, OH, USA",24/10/2010,
937,"25th October 2010 @ Brillobox, Pittsburgh, PA, USA",25th October 2010 ," Brillobox, Pittsburgh, PA, USA",25/10/2010,
938,"26th October 2010 @ 9:30 Club, Washington DC, USA",26th October 2010 ," 9:30 Club, Washington DC, USA",26/10/2010,
939,"28th October 2010 @ Northern Lights, Clifton Park, NY, USA",28th October 2010 ," Northern Lights, Clifton Park, NY, USA",28/10/2010,
940,"29th October 2010 @ The Electric Factory, Philadelphia, PA, USA",29th October 2010 ," The Electric Factory, Philadelphia, PA, USA",29/10/2010,
941,"30th October 2010 @ The House Of Blues, Atlantic City, NJ, USA",30th October 2010 ," The House Of Blues, Atlantic City, NJ, USA",30/10/2010,
942,"31st October 2010 @ 8 Seconds, Gainesville, FL, USA",31st October 2010 ," 8 Seconds, Gainesville, FL, USA",31/10/2010,
943,"31st October 2010 @ 8 Seconds Parking Lot, Gainesville, FL, USA",31st October 2010 ," 8 Seconds Parking Lot, Gainesville, FL, USA",31/10/2010,
944,"31st October 2010 @ Holiday Inn, Gainesville, FL, USA",31st October 2010 ," Holiday Inn, Gainesville, FL, USA",31/10/2010,
945,"1st November 2010 @ The House Of Blues, Boston, MA, USA",1st November 2010 ," The House Of Blues, Boston, MA, USA",01/11/2010,
946,"2nd November 2010 @ The State Theater, Portland, ME, USA",2nd November 2010 ," The State Theater, Portland, ME, USA",02/11/2010,
947,"3rd November 2010 @ Toad’s Place, New Haven, CT, USA",3rd November 2010 ," Toad’s Place, New Haven, CT, USA",03/11/2010,
948,"4th November 2010 @ Roseland Ballroom, New York, NY, USA",4th November 2010 ," Roseland Ballroom, New York, NY, USA",04/11/2010,
949,"5th November 2010 @ The Stone Pony, Asbury Park, NJ, USA",5th November 2010 ," The Stone Pony, Asbury Park, NJ, USA",05/11/2010,
950,"6th November 2010 @ Ram’s Head Live, Baltimore, MD, USA",6th November 2010 ," Ram’s Head Live, Baltimore, MD, USA",06/11/2010,
951,"7th November 2010 @ The Camel, Richmond, VA, USA",7th November 2010 ," The Camel, Richmond, VA, USA",07/11/2010,
952,"8th November 2010 @ The Orange Peel, Asheville, NC, USA",8th November 2010 ," The Orange Peel, Asheville, NC, USA",08/11/2010,
953,"9th November 2010 @ The Valarium, Knoxville, TN, USA",9th November 2010 ," The Valarium, Knoxville, TN, USA",09/11/2010,
954,"10th November 2010 @ The Tabernacle, Atlanta, GA, USA",10th November 2010 ," The Tabernacle, Atlanta, GA, USA",10/11/2010,
955,"11th November 2010 @ Jack Rabbits, Jacksonville, FL, USA",11th November 2010 ," Jack Rabbits, Jacksonville, FL, USA",11/11/2010,
956,"12th November 2010 @ Jannus Landing, St Petersburg, FL, USA",12th November 2010 ," Jannus Landing, St Petersburg, FL, USA",12/11/2010,
957,"13th November 2010 @ The Fillmore, Miami, FL, USA",13th November 2010 ," The Fillmore, Miami, FL, USA",13/11/2010,
958,"14th November 2010 @ Park Ave CDs, Orlando, FL, USA",14th November 2010 ," Park Ave CDs, Orlando, FL, USA",14/11/2010,
959,"14th November 2010 @ The House Of Blues, Orlando, FL, USA",14th November 2010 ," The House Of Blues, Orlando, FL, USA",14/11/2010,
960,"16th November 2010 @ The House Of Blues, New Orleans, LA, USA",16th November 2010 ," The House Of Blues, New Orleans, LA, USA",16/11/2010,
961,"18th November 2010 @ Stubbs, Austin, TX, USA",18th November 2010 ," Stubbs, Austin, TX, USA",18/11/2010,
962,"19th November 2010 @ The House Of Blues, Houston, TX, USA",19th November 2010 ," The House Of Blues, Houston, TX, USA",19/11/2010,
963,"20th November 2010 @ The House Of Blues, Dallas, TX, USA",20th November 2010 ," The House Of Blues, Dallas, TX, USA",20/11/2010,
964,"22nd November 2010 @ The Rialto Theater, Tucson, AZ, USA",22nd November 2010 ," The Rialto Theater, Tucson, AZ, USA",22/11/2010,
965,"23rd November 2010 @ The Marquee Theater, Tempe, AZ, USA",23rd November 2010 ," The Marquee Theater, Tempe, AZ, USA",23/11/2010,
966,"23rd November 2010 @ The Yucca Tap Room, Tempe, AZ, USA",23rd November 2010 ," The Yucca Tap Room, Tempe, AZ, USA",23/11/2010,
967,"2nd December 2010 @ ABC, Glasgow, UK",2nd December 2010 ," ABC, Glasgow, UK",02/12/2010,
968,"3rd December 2010 @ 53 Degrees, Preston, UK",3rd December 2010 ," 53 Degrees, Preston, UK",03/12/2010,
969,"4th December 2010 @ The Plug, Sheffield, UK",4th December 2010 ," The Plug, Sheffield, UK",04/12/2010,
970,"5th December 2010 @ The Regal, Oxford, UK",5th December 2010 ," The Regal, Oxford, UK",05/12/2010,
971,"6th December 2010 @ The Corn Exchange, Cambridge, UK",6th December 2010 ," The Corn Exchange, Cambridge, UK",06/12/2010,
972,"7th December 2010 @ The Guildhall, Southampton, UK",7th December 2010 ," The Guildhall, Southampton, UK",07/12/2010,
973,"10th December 2010 @ The Academy, Leicester, UK",10th December 2010 ," The Academy, Leicester, UK",10/12/2010,
974,"11th December 2010 @ The Academy, Liverpool, UK",11th December 2010 ," The Academy, Liverpool, UK",11/12/2010,
975,"12th December 2010 @ Brixton Academy, London, UK",12th December 2010 ," Brixton Academy, London, UK",12/12/2010,
976,"16th December 2010 @ Harry B James, Stockholm, Sweden",16th December 2010 ," Harry B James, Stockholm, Sweden",16/12/2010,
977,"31st December 2010 @ Inside Out, Darlington, UK",31st December 2010 ," Inside Out, Darlington, UK",31/12/2010,
978,"27th January 2011 @ R Bar, Gravesend, UK",27th January 2011 ," R Bar, Gravesend, UK",27/01/2011,
979,"4th February 2011 @ The Wheelbarrow, Camden, London, UK",4th February 2011 ," The Wheelbarrow, Camden, London, UK",04/02/2011,
980,"12th February 2011 @ Lexapalooza, Old Queen’s Head, Islington, London, UK",12th February 2011 ," Lexapalooza, Old Queen’s Head, Islington, London, UK",12/02/2011,
981,"16th February 2011 @ The Lemon Tree, Aberdeen, UK",16th February 2011 ," The Lemon Tree, Aberdeen, UK",16/02/2011,
982,"17th February 2011 @ Fibbers, York, UK",17th February 2011 ," Fibbers, York, UK",17/02/2011,
983,"18th February 2011 @ The Borderline, London, UK",18th February 2011 ," The Borderline, London, UK",18/02/2011,
984,"19th February 2011 @ The Bullingdon Arms, Oxford, UK",19th February 2011 ," The Bullingdon Arms, Oxford, UK",19/02/2011,
985,"20th February 2011 @ The Lemon Grove, Exeter, UK",20th February 2011 ," The Lemon Grove, Exeter, UK",20/02/2011,
986,"21st February 2011 @ The Old Fire Station, Bournemouth, UK",21st February 2011 ," The Old Fire Station, Bournemouth, UK",21/02/2011,
987,"1st March 2011 @ The Old Queen’s Head, Islington, London, UK",1st March 2011 ," The Old Queen’s Head, Islington, London, UK",01/03/2011,
988,"4th March 2011 @ The Trof, Manchester, UK",4th March 2011 ," The Trof, Manchester, UK",04/03/2011,
989,"4th March 2011 @ The Trof, Manchester, UK",4th March 2011 ," The Trof, Manchester, UK",04/03/2011,
990,"5th March 2011 @ Santiago’s, Leeds, UK",5th March 2011 ," Santiago’s, Leeds, UK",05/03/2011,
991,"2nd April 2011 @ The White Rabbit, Plymouth, UK",2nd April 2011 ," The White Rabbit, Plymouth, UK",02/04/2011,
992,"4th April 2011 @ White Trash, Berlin, Germany",4th April 2011 ," White Trash, Berlin, Germany",04/04/2011,
993,"5th April 2011 @ White Trash, Berlin, Germany",5th April 2011 ," White Trash, Berlin, Germany",05/04/2011,
994,"6th April 2011 @ Blue Shell, Cologne, Germany",6th April 2011 ," Blue Shell, Cologne, Germany",06/04/2011,
995,"13th April 2011 @ The Arthouse, Melbourne, VIC, Australia",13th April 2011 ," The Arthouse, Melbourne, VIC, Australia",13/04/2011,
996,"14th April 2011 @ Enigma, Adelaide, SA, Australia",14th April 2011 ," Enigma, Adelaide, SA, Australia",14/04/2011,
997,"15th April 2011 @ The Annandale Hotel, Sydney, NSW, Australia",15th April 2011 ," The Annandale Hotel, Sydney, NSW, Australia",15/04/2011,
998,"16th April 2011 @ Rosie’s, Brisbane, QLD, Australia",16th April 2011 ," Rosie’s, Brisbane, QLD, Australia",16/04/2011,
999,"17th April 2011 @ Amplifier, Perth, WA, Australia",17th April 2011 ," Amplifier, Perth, WA, Australia",17/04/2011,
1000,"21st April 2011 @ Strummerville Spring Sessions, Shoreditch, London, UK",21st April 2011 ," Strummerville Spring Sessions, Shoreditch, London, UK",21/04/2011,
1001,"25th April 2011 @ Gallery Radiolaria, Toronto, ON, Canada",25th April 2011 ," Gallery Radiolaria, Toronto, ON, Canada",25/04/2011,
1002,"26th April 2011 @ El Mocambo, Toronto, ON, Canada",26th April 2011 ," El Mocambo, Toronto, ON, Canada",26/04/2011,
1003,"28th April 2011 @ The Knitting Factory, New York, NY, USA",28th April 2011 ," The Knitting Factory, New York, NY, USA",28/04/2011,
1004,"29th April 2011 @ The Red Palace, Washington, DC, USA",29th April 2011 ," The Red Palace, Washington, DC, USA",29/04/2011,
1005,"30th April 2011 @ Bamboozle Festival, East Rutherford, NJ, USA",30th April 2011 ," Bamboozle Festival, East Rutherford, NJ, USA",30/04/2011,
1006,"30th April 2011 @ Bamboozle Festival, East Rutherford, NJ, USA",30th April 2011 ," Bamboozle Festival, East Rutherford, NJ, USA",30/04/2011,
1007,"2nd May 2011 @ JBTV, Chicago, IL, USA",2nd May 2011 ," JBTV, Chicago, IL, USA",02/05/2011,
1008,"2nd May 2011 @ The Beat Kitchen, Chicago, IL, USA",2nd May 2011 ," The Beat Kitchen, Chicago, IL, USA",02/05/2011,
1009,"4th May 2011 @ Bottom Of The Hill, San Francisco, CA, USA",4th May 2011 ," Bottom Of The Hill, San Francisco, CA, USA",04/05/2011,
1010,"5th May 2011 @ Hotel Cafe, Los Angeles, CA, USA",5th May 2011 ," Hotel Cafe, Los Angeles, CA, USA",05/05/2011,
1011,"5th May 2011 @ Hotel Cafe, Los Angeles, CA, USA",5th May 2011 ," Hotel Cafe, Los Angeles, CA, USA",05/05/2011,
1012,"6th May 2011 @ Velvet Jones, Santa Barbara, CA, USA",6th May 2011 ," Velvet Jones, Santa Barbara, CA, USA",06/05/2011,
1013,"9th May 2011 @ ARC, Stockton-on-Tees, UK",9th May 2011 ," ARC, Stockton-on-Tees, UK",09/05/2011,
1014,"10th May 2011 @ The Doghouse, Dundee, UK",10th May 2011 ," The Doghouse, Dundee, UK",10/05/2011,
1015,"11th May 2011 @ PJ Molloys, Dunfermline, UK",11th May 2011 ," PJ Molloys, Dunfermline, UK",11/05/2011,
1016,"12th May 2011 @ HMV, Brighton, UK",12th May 2011 ," HMV, Brighton, UK",12/05/2011,
1017,"12th May 2011 @ Coalition, Brighton, UK",12th May 2011 ," Coalition, Brighton, UK",12/05/2011,
1018,"13th May 2011 @ The Rescue Rooms, Nottingham, UK",13th May 2011 ," The Rescue Rooms, Nottingham, UK",13/05/2011,
1019,"14th May 2011 @ The Library, Lancaster, UK",14th May 2011 ," The Library, Lancaster, UK",14/05/2011,
1020,"15th May 2011 @ Telford’s Warehouse, Chester, UK",15th May 2011 ," Telford’s Warehouse, Chester, UK",15/05/2011,
1021,"16th May 2011 @ The Brudenell Social, Leeds, UK",16th May 2011 ," The Brudenell Social, Leeds, UK",16/05/2011,
1022,"18th May 2011 @ The Night & Day Cafe, Manchester, UK",18th May 2011 ," The Night & Day Cafe, Manchester, UK",18/05/2011,
1023,"19th May 2011 @ The Cathedral Crypt, Liverpool, UK",19th May 2011 ," The Cathedral Crypt, Liverpool, UK",19/05/2011,
1024,"20th May 2011 @ The Sugarmill, Stoke, UK",20th May 2011 ," The Sugarmill, Stoke, UK",20/05/2011,
1025,"22nd May 2011 @ The Slade Rooms, Wolverhampton, UK",22nd May 2011 ," The Slade Rooms, Wolverhampton, UK",22/05/2011,
1026,"23rd May 2011 @ Rise Records, Cheltenham, UK",23rd May 2011 ," Rise Records, Cheltenham, UK",23/05/2011,
1027,"23rd May 2011 @ The Guildhall, Gloucester, UK",23rd May 2011 ," The Guildhall, Gloucester, UK",23/05/2011,
1028,"24th May 2011 @ St George’s Church, Bristol, UK",24th May 2011 ," St George’s Church, Bristol, UK",24/05/2011,
1029,"25th May 2011 @ Komedia, Bath, UK",25th May 2011 ," Komedia, Bath, UK",25/05/2011,
1030,"26th May 2011 @ The Hippodrome, Kingston-Upon-Thames, UK",26th May 2011 ," The Hippodrome, Kingston-Upon-Thames, UK",26/05/2011,
1031,"26th May 2011 @ The Hippodrome, Kingston-Upon-Thames, UK",26th May 2011 ," The Hippodrome, Kingston-Upon-Thames, UK",26/05/2011,
1032,"27th May 2011 @ St Paul’s Church, Cambridge, UK",27th May 2011 ," St Paul’s Church, Cambridge, UK",27/05/2011,
1033,"28th May 2011 @ Playfest, Norfolk, UK",28th May 2011 ," Playfest, Norfolk, UK",28/05/2011,
1034,"29th May 2011 @ The Wedgeweood Rooms, Portsmouth, UK",29th May 2011 ," The Wedgeweood Rooms, Portsmouth, UK",29/05/2011,
1035,"30th May 2011 @ The Railway Inn, Winchester, UK",30th May 2011 ," The Railway Inn, Winchester, UK",30/05/2011,
1036,"2nd June 2011 @ Haus Auensee, Leipzig, Germany",2nd June 2011 ," Haus Auensee, Leipzig, Germany",02/06/2011,
1037,"3rd June 2011 @ Club Meskalina, Poznan, Poland",3rd June 2011 ," Club Meskalina, Poznan, Poland",03/06/2011,
1038,"4th June 2011 @ Rock Im Park Festival, Germany",4th June 2011 ," Rock Im Park Festival, Germany",04/06/2011,
1039,"5th June 2011 @ Rock Am Ring Festival, Germany",5th June 2011 ," Rock Am Ring Festival, Germany",05/06/2011,
1040,"6th June 2011 @ The Barfly, Camden, London, UK",6th June 2011 ," The Barfly, Camden, London, UK",06/06/2011,
1041,"7th June 2011 @ Huxley’s, Berlin, Germany",7th June 2011 ," Huxley’s, Berlin, Germany",07/06/2011,
1042,"8th June 2011 @ Huxley’s, Berlin, Germany",8th June 2011 ," Huxley’s, Berlin, Germany",08/06/2011,
1043,"9th June 2011 @ Huxley’s, Berlin, Germany",9th June 2011 ," Huxley’s, Berlin, Germany",09/06/2011,
1044,"10th June 2011 @ Greenfields Festival, Interlaken, Switzerland",10th June 2011 ," Greenfields Festival, Interlaken, Switzerland",10/06/2011,
1045,"12th June 2011 @ Download Festival, Donington, UK",12th June 2011 ," Download Festival, Donington, UK",12/06/2011,
1046,"13th June 2011 @ Kerrang Radio, Birmingham, UK",13th June 2011 ," Kerrang Radio, Birmingham, UK",13/06/2011,
1047,"13th June 2011 @ Truck Store, Oxford, UK",13th June 2011 ," Truck Store, Oxford, UK",13/06/2011,
1048,"18th June 2011 @ Augarten Festival, Graz, Austria",18th June 2011 ," Augarten Festival, Graz, Austria",18/06/2011,
1049,"18th June 2011 @ Sub, Graz, Austria",18th June 2011 ," Sub, Graz, Austria",18/06/2011,
1050,"19th June 2011 @ B72, Vienna, Austria",19th June 2011 ," B72, Vienna, Austria",19/06/2011,
1051,"20th June 2011 @ Club Vaudeville, Lindau, Germany",20th June 2011 ," Club Vaudeville, Lindau, Germany",20/06/2011,
1052,"22nd June 2011 @ Paradiso, Amsterdam, Netherlands",22nd June 2011 ," Paradiso, Amsterdam, Netherlands",22/06/2011,
1053,"23rd June 2011 @ The Docks, Hamburg, Germany",23rd June 2011 ," The Docks, Hamburg, Germany",23/06/2011,
1054,"25th June 2011 @ The Docks, Hamburg, Germany",25th June 2011 ," The Docks, Hamburg, Germany",25/06/2011,
1055,"26th June 2011 @ The Docks, Hamburg, Germany",26th June 2011 ," The Docks, Hamburg, Germany",26/06/2011,
1056,"27th June 2011 @ The Docks, Hamburg, Germany",27th June 2011 ," The Docks, Hamburg, Germany",27/06/2011,
1057,"29th June 2011 @ Vega, Copenhagen, Denmark",29th June 2011 ," Vega, Copenhagen, Denmark",29/06/2011,
1058,"1st July 2011 @ Blissfields Festival, Winchester, UK",1st July 2011 ," Blissfields Festival, Winchester, UK",01/07/2011,
1059,"2nd July 2011 @ Guernsey Live Festival, Guernsey",2nd July 2011 ," Guernsey Live Festival, Guernsey",02/07/2011,
1060,"4th July 2011 @ Le Trianon, Paris, France",4th July 2011 ," Le Trianon, Paris, France",04/07/2011,
1061,"7th July 2011 @ The Playhouse, Whitley Bay, UK",7th July 2011 ," The Playhouse, Whitley Bay, UK",07/07/2011,
1062,"9th July 2011 @ Fonofest, Cesis, Latvia",9th July 2011 ," Fonofest, Cesis, Latvia",09/07/2011,
1063,"22nd July 2011 @ Port Elliot Festival, Cornwall, UK",22nd July 2011 ," Port Elliot Festival, Cornwall, UK",22/07/2011,
1064,"29th July 2011 @ Cambridge Folk Festival, UK",29th July 2011 ," Cambridge Folk Festival, UK",29/07/2011,
1065,"30th July 2011 @ Oma’s Teich Festival, Grossfehen, Germany",30th July 2011 ," Oma’s Teich Festival, Grossfehen, Germany",30/07/2011,
1066,"31st July 2011 @ Kendall Calling Festival, UK",31st July 2011 ," Kendall Calling Festival, UK",31/07/2011,
1067,"5th August 2011 @ Belladrum Festival, Inverness, UK",5th August 2011 ," Belladrum Festival, Inverness, UK",05/08/2011,
1068,"6th August 2011 @ The Academy, Newcastle, UK",6th August 2011 ," The Academy, Newcastle, UK",06/08/2011,
1069,"7th August 2011 @ Mannifest, Isle Of Man",7th August 2011 ," Mannifest, Isle Of Man",07/08/2011,
1070,"9th August 2011 @ Terraneo Festival, Sibenik, Croatia",9th August 2011 ," Terraneo Festival, Sibenik, Croatia",09/08/2011,
1071,"12th August 2011 @ Open Flair Festival, Eschwege, Germany",12th August 2011 ," Open Flair Festival, Eschwege, Germany",12/08/2011,
1072,"13th August 2011 @ Rocco Del Schlacko Festival, Püttlingen, Germany",13th August 2011 ," Rocco Del Schlacko Festival, Püttlingen, Germany",13/08/2011,
1073,"14th August 2011 @ Taubertal Festival, Rothenburg-ob-der-Tauber, Germany",14th August 2011 ," Taubertal Festival, Rothenburg-ob-der-Tauber, Germany",14/08/2011,
1074,"15th August 2011 @ Festa Di Radio Onda Urto, Brescia, Italy",15th August 2011 ," Festa Di Radio Onda Urto, Brescia, Italy",15/08/2011,
1075,"20th August 2011 @ JK Zomaar, Itterbeek, Belgium",20th August 2011 ," JK Zomaar, Itterbeek, Belgium",20/08/2011,
1076,"21st August 2011 @ Lowlands Festival, Netherlands",21st August 2011 ," Lowlands Festival, Netherlands",21/08/2011,
1077,"21st August 2011 @ Noorderzoon Festival, Groningen, Netherlands",21st August 2011 ," Noorderzoon Festival, Groningen, Netherlands",21/08/2011,
1078,"25th August 2011 @ The Roadmender, Northampton, UK",25th August 2011 ," The Roadmender, Northampton, UK",25/08/2011,
1079,"26th August 2011 @ Leeds Festival, UK",26th August 2011 ," Leeds Festival, UK",26/08/2011,
1080,"26th August 2011 @ Leeds Festival, UK",26th August 2011 ," Leeds Festival, UK",26/08/2011,
1081,"28th August 2011 @ Reading Festival, UK",28th August 2011 ," Reading Festival, UK",28/08/2011,
1082,"28th August 2011 @ Reading Festival, UK",28th August 2011 ," Reading Festival, UK",28/08/2011,
1083,"9th September 2011 @ Bestival, Isle Of Wight, UK",9th September 2011 ," Bestival, Isle Of Wight, UK",09/09/2011,
1084,"13th September 2011 @ Set Theatre, Kilkenny, Ireland",13th September 2011 ," Set Theatre, Kilkenny, Ireland",13/09/2011,
1085,"14th September 2011 @ Cypress Avenue, Cork, Ireland",14th September 2011 ," Cypress Avenue, Cork, Ireland",14/09/2011,
1086,"15th September 2011 @ Roisin Dubh, Galway, Ireland",15th September 2011 ," Roisin Dubh, Galway, Ireland",15/09/2011,
1087,"17th September 2011 @ Stiff Kitten, Belfast, Northern Ireland",17th September 2011 ," Stiff Kitten, Belfast, Northern Ireland",17/09/2011,
1088,"18th September 2011 @ Whelan’s, Dublin, Ireland",18th September 2011 ," Whelan’s, Dublin, Ireland",18/09/2011,
1089,"20th September 2011 @ Heirloom Arts Theater, Danbury, CT, USA",20th September 2011 ," Heirloom Arts Theater, Danbury, CT, USA",20/09/2011,
1090,"21st September 2011 @ Bowery Ballroom, New York, NY, USA",21st September 2011 ," Bowery Ballroom, New York, NY, USA",21/09/2011,
1091,"22nd September 2011 @ Mr Smalls, Millvale, PA, USA",22nd September 2011 ," Mr Smalls, Millvale, PA, USA",22/09/2011,
1092,"23rd September 2011 @ The Ottobar, Baltimore, MD, USA",23rd September 2011 ," The Ottobar, Baltimore, MD, USA",23/09/2011,
1093,"24th September 2011 @ The Canal Club, Richmond, VA, USA",24th September 2011 ," The Canal Club, Richmond, VA, USA",24/09/2011,
1094,"25th September 2011 @ New Brookland Tavern, West Colombia, SC, USA",25th September 2011 ," New Brookland Tavern, West Colombia, SC, USA",25/09/2011,
1095,"27th September 2011 @ Park Ave CDs, Orlando, FL, USA",27th September 2011 ," Park Ave CDs, Orlando, FL, USA",27/09/2011,
1096,"27th September 2011 @ The Social, Orlando, FL, USA",27th September 2011 ," The Social, Orlando, FL, USA",27/09/2011,
1097,"28th September 2011 @ The Double Down, Gainesville, FL, USA",28th September 2011 ," The Double Down, Gainesville, FL, USA",28/09/2011,
1098,"29th September 2011 @ The Culture Room, Fort Lauderdale, FL, USA",29th September 2011 ," The Culture Room, Fort Lauderdale, FL, USA",29/09/2011,
1099,"30th September 2011 @ The Crowbar, Tampa, FL, USA",30th September 2011 ," The Crowbar, Tampa, FL, USA",30/09/2011,
1100,"1st October 2011 @ The Masquerade, Atlanta, GA, USA",1st October 2011 ," The Masquerade, Atlanta, GA, USA",01/10/2011,
1101,"3rd October 2011 @ Emo’s, Austin, TX, USA",3rd October 2011 ," Emo’s, Austin, TX, USA",03/10/2011,
1102,"4th October 2011 @ The Loft, Dallas, TX, USA",4th October 2011 ," The Loft, Dallas, TX, USA",04/10/2011,
1103,"5th October 2011 @ The Conservatory, Oklahoma City, OK, USA",5th October 2011 ," The Conservatory, Oklahoma City, OK, USA",05/10/2011,
1104,"6th October 2011 @ The Record Bar, Kansas City, MO, USA",6th October 2011 ," The Record Bar, Kansas City, MO, USA",06/10/2011,
1105,"7th October 2011 @ The Marquee Theater, Denver, CO, USA",7th October 2011 ," The Marquee Theater, Denver, CO, USA",07/10/2011,
1106,"10th October 2011 @ The Rhythm Room, Phoenix, AZ, USA",10th October 2011 ," The Rhythm Room, Phoenix, AZ, USA",10/10/2011,
1107,"11th October 2011 @ The Glass House, Pomona, CA, USA",11th October 2011 ," The Glass House, Pomona, CA, USA",11/10/2011,
1108,"12th October 2011 @ Soma, San Diego, CA, USA",12th October 2011 ," Soma, San Diego, CA, USA",12/10/2011,
1109,"13th October 2011 @ The El Rey Theater, Los Angeles, CA, USA",13th October 2011 ," The El Rey Theater, Los Angeles, CA, USA",13/10/2011,
1110,"14th October 2011 @ Slim’s, San Francisco, CA, USA",14th October 2011 ," Slim’s, San Francisco, CA, USA",14/10/2011,
1111,"15th October 2011 @ The Hawthorne Theater, Portland, OR, USA",15th October 2011 ," The Hawthorne Theater, Portland, OR, USA",15/10/2011,
1112,"16th October 2011 @ Neumo’s, Seattle, WA, USA",16th October 2011 ," Neumo’s, Seattle, WA, USA",16/10/2011,
1113,"17th October 2011 @ The Biltmore Cabaret, Vancouver, BC, Canada",17th October 2011 ," The Biltmore Cabaret, Vancouver, BC, Canada",17/10/2011,
1114,"19th October 2011 @ Starlite Room, Edmonton, AB, Canada",19th October 2011 ," Starlite Room, Edmonton, AB, Canada",19/10/2011,
1115,"20th October 2011 @ Republik, Calgary, AB, Canada",20th October 2011 ," Republik, Calgary, AB, Canada",20/10/2011,
1116,"21st October 2011 @ The Exchange, Regina, SK, Canada",21st October 2011 ," The Exchange, Regina, SK, Canada",21/10/2011,
1117,"22nd October 2011 @ WECC, Winnipeg, MB, Canada",22nd October 2011 ," WECC, Winnipeg, MB, Canada",22/10/2011,
1118,"23rd October 2011 @ The Triple Rock, Minneapolis, MN, USA",23rd October 2011 ," The Triple Rock, Minneapolis, MN, USA",23/10/2011,
1119,"25th October 2011 @ Turner Hall Ballroom, Milwaukee, WI, USA",25th October 2011 ," Turner Hall Ballroom, Milwaukee, WI, USA",25/10/2011,
1120,"26th October 2011 @ The Bottom Lounge, Chicago, IL, USA",26th October 2011 ," The Bottom Lounge, Chicago, IL, USA",26/10/2011,
1121,"27th October 2011 @ The Magic Stick, Detroit, MI, USA",27th October 2011 ," The Magic Stick, Detroit, MI, USA",27/10/2011,
1122,"28th October 2011 @ The Phoenix Theatre, Toronto, ON, Canada",28th October 2011 ," The Phoenix Theatre, Toronto, ON, Canada",28/10/2011,
1123,"29th October 2011 @ The Corona Theatre, Montreal, QC, Canada",29th October 2011 ," The Corona Theatre, Montreal, QC, Canada",29/10/2011,
1124,"30th October 2011 @ Maverick’s, Ottawa, ON, Canada",30th October 2011 ," Maverick’s, Ottawa, ON, Canada",30/10/2011,
1125,"31st October 2011 @ Le Cercle, Quebec City, QC, Canada",31st October 2011 ," Le Cercle, Quebec City, QC, Canada",31/10/2011,
1126,"2nd November 2011 @ The Middle East, Cambridge, MA, USA",2nd November 2011 ," The Middle East, Cambridge, MA, USA",02/11/2011,
1127,"3rd November 2011 @ Generation Records, New York, NY, USA",3rd November 2011 ," Generation Records, New York, NY, USA",03/11/2011,
